,Tavg,Htg Fraction,,All Conditioning,Overall COP,,,,,,,,,,,,,,,,,,,,,,
,20.03703863,0.006184289,,1016.285,9.321953667,,,,,,,,,,,,,,,,,,,,,,
,18.46759404,0.006204954,,731.5391667,6.763644305,,,,,,,,,,,,,,,,,,,,,,
,17.36805688,0.006227181,,1009.285,9.014890381,,,,,,,,,,,,,,,,,,,,,,
,15.79398267,0.006230133,,429.6769444,4.133472404,,,,,,,,,,,,,,,,,,,,,,
,17.58564954,0.006273937,,1066.692361,9.499649817,,,,,,,,,,,,,,,,,,,,,,
,15.59953821,0.006326144,,653.1318056,6.026449506,,,,,,,,,,,,,,,,,,,,,,
,18.37268667,0.006566504,,859.6448611,7.312977109,,,,,,,,,,,,,,,,,,,,,,
,16.46759379,0.006573366,,1035.80875,9.132456823,,,,,,,,,,,,,,,,,,,,,,
,18.36112796,0.006707643,,1032.425139,8.042535622,,,,,,,,,,,,,,,,,,,,,,
,19.07407563,0.006724619,,813.4702778,7.45273286,,,,,,,,,,,,,,,,,,,,,,
,17.38426067,0.006743567,,664.4809722,6.029907192,,,,,,,,,,,,,,,,,,,,,,
,15.43518646,0.007020714,,215.5130556,1.863967597,,,,,,,,,,,,,,,,,,,,,,
,13.9583345,0.007645328,,426.2588889,3.681608851,,,,,,,,,,,,,,,,,,,,,,
,17.71296438,0.008053188,,859.9251389,7.818386481,,,,,,,,,,,,,,,,,,,,,,
,16.32176058,0.00876078,,511.4809722,4.683865868,,,,,,,,,,,,,,,,,,,,,,
,16.89351987,0.009186208,,709.5177778,6.439767509,,,,,,,,,,,,,,,,,,,,,,
,16.96990871,0.009280943,,827.6816667,7.222315177,,,,,,,,,,,,,,,,,,,,,,
,18.21296442,0.009405153,,1071.073611,9.981060508,,,,,,,,,,,,,,,,,,,,,,
,17.13196771,0.009558806,,815.7980556,7.161905585,,,,,,,,,,,,,,,,,,,,,,
,15.67129767,0.009788325,,368.6080556,3.341639539,,,,,,,,,,,,,,,,,,,,,,
,16.55092721,0.00983418,,757.4488889,6.788473592,,,,,,,,,,,,,,,,,,,,,,
,13.78935287,0.009995901,,320.2006944,3.047191285,,,,,,,,,,,,,,,,,,,,,,
,16.23148279,0.010071389,,577.8194444,5.287148154,,,,,,,,,,,,,,,,,,,,,,
,15.44676046,0.010115302,,339.4334722,3.20067464,,,,,,,,,,,,,,,,,,,,,,
,17.49537179,0.010359461,,662.8669444,5.961537512,,,,,,,,,,,,,,,,,,,,,,
,13.99074187,0.01066686,,425.5391667,3.949042869,,,,,,,,,,,,,,,,,,,,,,
,13.63888992,0.011105783,,345.8408333,3.184227204,,,,,,,,,,,,,,,,,,,,,,
,16.40277908,0.011272835,,495.5866667,4.598663395,,,,,,,,,,,,,,,,,,,,,,
,15.62037171,0.011614324,,420.8883333,3.690364857,,,,,,,,,,,,,,,,,,,,,,
,17.50000129,0.011696083,,602.0415278,5.337836949,,,,,,,,,,,,,,,,,,,,,,
,16.18981608,0.012460634,,541.7505556,4.829833381,,,,,,,,,,,,,,,,,,,,,,
,13.50463075,0.012613263,,456.76125,3.649401193,,,,,,,,,,,,,,,,,,,,,,
,14.4455985,0.014855567,,278.1318056,2.580131155,,,,,,,,,,,,,,,,,,,,,,
,13.91203808,0.014947539,,377.6448611,3.341844901,,,,,,,,,,,,,,,,,,,,,,
,15.07639013,0.017047073,,460.85625,4.04293198,,,,,,,,,,,,,,,,,,,,,,
,14.689816,0.017397655,,454.9144444,3.986367236,,,,,,,,,,,,,,,,,,,,,,
,13.90972333,0.017982558,,381.8669444,3.39797917,,,,,,,,,,,,,,,,,,,,,,
,14.11342692,0.018045566,,270.8883333,2.480648719,,,,,,,,,,,,,,,,,,,,,,
,16.50926071,0.019551879,,839.4120833,6.800129537,,,,,,,,,,,,,,,,,,,,,,
,14.23842712,0.02278224,,334.6234722,2.743760817,,,,,,,,,,,,,,,,,,,,,,
,16.00231617,0.024057507,,222.3491667,2.199503835,,,,,,,,,,,,,,,,,,,,,,
,10.2800935,0.032938688,,415.6923611,3.398106071,,,,,,,,,,,,,,,,,,,,,,
,13.81713075,0.037879688,,310.7719444,2.830408849,,,,,,,,,,,,,,,,,,,,,,
,15.25463075,0.040664326,,721.3325,5.845689262,,,,,,,,,,,,,,,,,,,,,,
,14.04861217,0.042536669,,410.4595833,3.518407899,,,,,,,,,,,,,,,,,,,,,,
,16.26389021,0.048597128,,705.2743056,5.841995182,,,,,,,,,,,,,,,,,,,,,,
