,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,,,,,,,,,,,,,,,
ODA Temperature (°C),Count,ODA Temperature (°C),EL 007 (kW),GHE EFT (°C),GHE ExFT (°C),Clg Provided (kW),Bldg Htg Provided (kW),EL 003 (kW),CP Energy (kW),DHW Provided by HP (kW),DHW by LPS (kW),Useful Bldg Htg by LPS (kW),Bldg Htg Uncertainty (kW),Bldg Clg Uncertainty (kW),DHW Htg by HP Uncertainty (kW),Bldg + DHW Htg by HP Uncertainty (kW),EL007+EL011 Uncertainty (kW),EL011 Uncertainty (kW),LPS DHW Uncertainty (kW),LPS Elec. Usage (kW),HtgFrac,COP H4,COP H3,COP H2,COP C3,COP C2,Overall (H+C) COP,Not used,Not used,Not used,Not used,Not used,Error COP H3,Error COP H2,Error COP H3b,Error COP C2,,,,,,,,,,,,,,,,,,,,
-3,165,-3.03599917,18.701427,7.099476584,8.418787879,10.86088154,58.33581267,13.89487052,1.018693491,2.464964387,0.262564356,2.963636364,2.93919092,0.58448224,0.18766112,2.956993066,0.270050064,0.19,0.075415869,3.262564356,0.848442225,2.099904622,3.27240431,3.729384832,5.157418234,70.34663441,3.797535586,0,0,0,0,0.116612478,0.157736027,0.191662536,0.157783115,13.559589,,,,,,,,,,,,,,,,,,0.848442225,,
-2,260,-2.0350429,17.66069231,7.178076923,8.451538462,9.569230769,55.73846154,13.10046154,1.014012402,1.907208612,0.197637286,3,2.809375285,0.509105169,0.142945339,2.821514159,0.263113844,0.19,0.056766989,3.197637286,0.857632301,2.105590993,3.283442212,3.759654338,5.130727702,66.28607381,3.770476658,0,0,0,0,0.117889474,0.159242239,0.195036513,0.159271704,12.83724262,,,,,,,,,,,,,,,,,,0.857632301,,
-1,375,-0.994074259,17.13125333,7.3956,8.567733333,10.22533333,53.14266667,13.556,1.016700145,1.962141169,0.204689259,2.984,2.67770517,0.544452774,0.147608145,2.69013107,0.258386045,0.19,0.058792514,3.204689259,0.843482149,2.040696033,3.240540036,3.727293965,4.819278634,64.25703932,3.77556789,0,0,0,0,0.113661137,0.156620975,0.193310897,0.156655071,12.41145532,,,,,,,,,,,,,,,,,,0.843482149,,
0,436,0.015609206,15.90408257,7.577637615,8.666284404,8.95412844,48.75458716,13.05045872,1.012389033,1.58980629,0.165774083,2.979357798,2.457061277,0.477505354,0.119570754,2.468897267,0.250311234,0.19,0.04761498,3.165774083,0.848999129,1.982274772,3.190813751,3.702385502,4.54378832,58.57286075,3.691293033,0,0,0,0,0.110912222,0.154792155,0.193967309,0.154818213,11.36188138,,,,,,,,,,,,,,,,,,0.848999129,,
1,465,0.946953531,15.45335484,7.725806452,8.780645161,10.10038199,46.44086022,13.65101075,1.015014913,2.007975554,0.213755078,2.987096774,2.34245148,0.542445615,0.15279216,2.359311027,0.245580308,0.19,0.061396472,3.213755078,0.827489036,1.930871557,3.170001615,3.704177213,4.289002391,57.68311087,3.749616419,0,0,0,0,0.106908865,0.152482023,0.19338275,0.152528577,11.15730035,,,,,,,,,,,,,,,,,,0.827489036,,
2,419,1.974410103,14.53272076,7.863245823,8.874224344,10.43783234,42.39618138,14.01513126,1.015415667,2.614608054,0.274166667,2.992840095,2.139856659,0.56477726,0.197262111,2.166048555,0.239210396,0.19,0.07874838,3.274166667,0.811756686,1.863317121,3.143701491,3.725187702,3.956339811,54.60682119,3.77637724,0,0,0,0,0.101742658,0.149305015,0.193953719,0.149393047,10.55072161,,,,,,,,,,,,,,,,,,0.811756686,,
3,438,2.940385831,13.44390411,8.114611872,8.97716895,9.812398011,38.04794521,13.7786758,1.011132995,2.253334693,0.236365107,2.993150685,1.922422113,0.524903096,0.170036863,1.945858293,0.230946298,0.19,0.067890708,3.236365107,0.804197209,1.774979388,3.053281158,3.65687469,3.637046015,49.56190547,3.690284108,0,0,0,0,0.09697083,0.145169128,0.192575593,0.145247208,9.615966377,,,,,,,,,,,,,,,,,,0.804197209,,
4,386,3.949554158,12.25024611,8.421891192,9.215803109,10.06663199,34.48445596,13.62584197,1.010227563,2.146087745,0.229234852,2.984455959,1.742132434,0.538176389,0.16365593,1.766610497,0.222293828,0.19,0.065842698,3.229234852,0.784427391,1.736985216,3.054907792,3.73268331,3.427103866,46.22441261,3.763882628,0,0,0,0,0.094765376,0.145110813,0.199000035,0.145198597,8.975383311,,,,,,,,,,,,,,,,,,0.784427391,,
5,477,4.960168099,10.93235849,8.73490566,9.403878407,9.322265744,29.46960168,13.12620545,1.013191247,1.831674842,0.190565455,2.974842767,1.491454578,0.50130789,0.137594708,1.51780533,0.211443184,0.19,0.05473576,3.190565455,0.770520609,1.637654581,2.942590074,3.672790632,3.094842787,40.09464391,3.665712458,0,0,0,0,0.089468814,0.140047492,0.200155193,0.140125435,7.766413142,,,,,,,,,,,,,,,,,,0.770520609,,
6,467,5.991791985,9.603875803,9.050107066,9.683083512,9.709837708,25.33190578,13.01670236,1.012909683,2.016712128,0.216204199,2.935760171,1.281721995,0.522369526,0.154115075,1.317553456,0.200333624,0.19,0.062099928,3.216204199,0.737985905,1.5877435,2.946520767,3.832923626,2.846992626,36.58614013,3.787438301,0,0,0,0,0.086042029,0.139473101,0.21390379,0.139602063,7.085987341,,,,,,,,,,,,,,,,,,0.737985905,,
