,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,,,,,,,,,
 Month,Count,ODA Temperature (¡C),EL 007 (kW),GHE EFT (¡C),GHE ExFT (¡C),Clg Provided (kW),Bldg Htg Provided (kW),EL 003 (kW),CP Energy (kW),DHW Provided by HP (kW),DHW by LPS (kW),Useful Bldg Htg by LPS (kW),Bldg Htg Uncertainty (kW),Bldg Clg Uncertainty (kW),DHW Htg by HP Uncertainty (kW),Bldg + DHW Htg by HP Uncertainty (kW),EL007+EL011 Uncertainty (kW),EL011 Uncertainty (kW),LPS DHW Uncertainty (kW),LPS Elec. Usage (kW),HtgFrac,COP H4,COP H3,COP H2,COP C3,COP C2,Overall (H+C) COP,COP H1*,Not used,Not used,Not used,Not used,Error COP H3,Error COP H2,Error COP H3b,Error COP C2,Error COP H1*,,,,Cooling provided (kWh),Clg. Elec. Calculated from COP C2 (kWh),Htg to bldg + DHW (kWh), Htg. Elec.  Calculated from COP H2 (kWh) ,EL007 (kWh),EL003 (kWh),CP energy for htg (kWh),HP +int CP energy (kWh),HP + source CPs energy (kWh),CP energy for clg (kWh)
11,720,2.079977135,14.42281944,8.215069444,9.181944444,10.2375,41.64027778,13.96290278,1.013730571,2.169315111,0.247407215,2.9625,2.102,0.546,0.171807331,2.130363366,0.237297969,0.19,0.071062312,3.247407215,0.810581856,1.826645885,3.084352017,3.651674641,3.87076339,53.31504687,3.709183726,3.920176901,0,0,0,0.100527887,0.147763509,0.191791981,0.147837019,10.32386314,0,,,,7371,138.2536532,31542.90688,8637.929163,10384.43,10053.29,591.6323577,8046.296806,8637.929163,138.2536532
12,744,2.221774348,14.7878629,7.83608871,8.856182796,9.191532258,44.39448925,13.79010753,1.014387174,1.72980728,0.187489359,2.97983871,2.239,0.490,0.132949579,2.255120067,0.241234305,0.19,0.053852219,3.187489359,0.833835406,1.875165744,3.152909475,3.705892256,4.011268852,54.53127779,3.700938573,3.97610442,0,0,0,0.103952479,0.152230764,0.194955367,0.152269731,10.55642368,0,,,,6838.5,125.4050937,34316.47662,9259.976881,11002.17,10259.84,629.2989639,8630.677917,9259.976881,125.4050937
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summation,130137,4501,210111,56583,80272,114316,4375,52208,56583,4501
,,,,,,,,,,,,,,,,,,,,,,,Figure 3,,,,,,,,,,,,,,,,,Tables 3&4,130137,4877,210112,56206,,,3998,52208,56206,4877
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Difference,0,-376,-1,377,,,377,0,377,-376
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8875,,
,,,,Errors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61083.63821,,,,,,8875,,
 Month,Cooling,Heating,DHW w/o LPS,Cooling,Heating,DHW w/o LPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61083,,,,,,,,
4,7683.369218,16988.5,1666.096672,422.585307,863.5818373,124.4698337,, Apr 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13330,2428,1406.29504,733.15,122.6202147,108.0086213,, May 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16678,563,748.3866512,917.29,28.35772548,59.2793721,, Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,18304,0,385.8510307,1006.72,0,31.58565879,, Jul 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15163,107,801.7675694,833.965,5.38399124,67.05006695,, Aug 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13799,363,1288.79263,725.8665391,18.25140058,107.6093171,, Sep 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7733,13957,1526.613719,413.5317499,705.3429917,124.9116504,, Oct 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7371,29981,1561.90688,393.4369266,1513.210457,123.7012782,, Nov 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6838.5,33029.5,1286.976616,364.5664069,1665.590393,98.91448669,, Dec 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
