HP EFT / BH ExFT (¡C),Count,ODA Temperature (¡C),EL 007 (kW),GHE EFT (¡C),GHE ExFT (¡C),Clg Provided (kW),Bldg Htg Provided (kW),EL 003 (kW),CP Energy (kW),DHW Provided by HP (kW),DHW by LPS (kW),Useful Bldg Htg by LPS (kW),Bldg Htg Uncertainty (kW),Bldg Clg Uncertainty (kW),DHW Htg by HP Uncertainty (kW),Bldg + DHW Htg by HP Uncertainty (kW),EL007+EL011 Uncertainty (kW),EL011 Uncertainty (kW),LPS DHW Uncertainty (kW),LPS Elec. Usage (kW),HtgFrac,COP H4,COP H3,COP H2,COP C3,COP C2,Overall (H+C) COP,COP H1*,Not used,Not used,Not used,Not used,Error COP H3,Error COP H2,Error COP H3b,Error COP C2,Error COP H1*,,,,,,,Fractional uncertainty in LPS,Absolute uncertainty in LPS output,HP EFT / BH ExFT (¡C),Total Heating and Cooling (kWh/h),Uncertainty,,,,,,,,,,,,,,,,,,,,,,,,
12,459,19.41321847,3.634662309,12.01220044,11.98,38.74509804,0,14.61851852,1.011716411,2.013736481,0.242540244,0,0,2.11101969,0.164954939,0.164954939,0.113670784,0.19,0.069664381,3.242540244,0.049406135,0.517862058,0.612345372,4.554861598,2.78816451,40.28681759,8.824372103,5.135483722,0,0,0,0.052747649,0.04859064,1.239166172,0.052139353,8.371087158,0,,,,,,,0.287228132,0.047379699,12,41.00137477,2.117984679,,,,,,,,,,,,,,,,,,,,,,,,
12.5,211,21.39047284,3.77957346,12.48341232,12.46,59.25118483,0,16.54535545,1.008935413,2.661888637,0.315518694,0,0,3.230647484,0.215925687,0.215925687,0.116206848,0.19,0.090625845,3.315518694,0.042993967,0.662983248,0.77882423,5.245794328,3.742021358,61.36475405,12.99540083,5.736151924,0,0,0,0.066968646,0.06124222,1.286925062,0.065670169,12.75480286,0,,,,,,,0.287228132,0.062019932,12.5,62.22859216,3.238449249,,,,,,,,,,,,,,,,,,,,,,,,
13,93,22.86380106,3.956451613,12.97204301,12.95,76.37634409,0,18.53354839,0.999678015,3.086861999,0.365436081,0,0,4.153014636,0.250189253,0.250189253,0.118732553,0.19,0.104963523,3.365436081,0.038846432,0.738236222,0.864092954,4.900952082,4.287533311,79.48880028,16.10705291,5.222979488,0,0,0,0.074125834,0.06768182,1.019363623,0.072601919,16.6449886,0,,,,,,,0.287228132,0.071861392,13,79.82864217,4.161164415,,,,,,,,,,,,,,,,,,,,,,,,
13.5,15,23.09629807,3.911333333,13.36,13.36,87.66666667,0,20.422,1.003886104,3.400722149,0.41512037,0,0,4.66456192,0.280931151,0.280931151,0.119637124,0.19,0.119234249,3.41512037,0.037342919,0.816406288,0.96632442,6.371961351,4.459278661,90.71486143,18.61209054,6.853352095,0,0,0,0.083130787,0.076931491,1.538582282,0.08264494,19.00138486,0,,,,,,,0.287228132,0.08069133,13.5,91.48250919,4.673710657,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
