Best estimate of cooling provided,Negative values,Best estimate of heating provided,Ambient temperature (°C),,,,
 (kWh/h),(kWh/h),(kWh/h),°C,,,,
Cooling,Cooling,Heating ,ODA,,,,
3,-3,80,-4.333334,,,,
3,-3,80,-4.333334,,,,
3,-3,80,-4.333334,,,,
3,-3,80,-4.333334,,,,
3,-3,80,-4.333334,,,,
3,-3,80,-4.333334,,,,
3,-3,80,-4.222223,,,,
3,-3,80,-4.222223,,,,
3,-3,80,-4.222223,,,,
3,-3,80,-4.222223,,,,
3,-3,80,-4.222223,,,,
3,-3,79,-4.222223,,,,
3,-3,79,-4.181903,,,,
3,-3,79,-4.166667,,,,
3,-3,79,-4.166667,,,,
3,-3,79,-4.166667,,,,
3,-3,79,-4.166667,,,,
3,-3,79,-4.166667,,,,
3,-3,79,-4.166667,,,,
3,-3,79,-4.166667,,,,
3,-3,79,-4.166667,,,,
3,-3,78,-4.166667,,,,
3,-3,78,-4.055556,,,,
3,-3,78,-4.055556,,,,
3,-3,78,-4.055556,,,,
3,-3,78,-4.055556,,,,
3,-3,78,-4.055556,,,,
3,-3,78,-4.055556,,,,
3,-3,78,-4.055556,,,,
3,-3,78,-4.055556,,,,
3,-3,78,-4.055556,,,,
3,-3,78,-4.055556,,,,
3,-3,78,-4.030388,,,,
3,-3,78,-4,,,,
3,-3,78,-4,,,,
3,-3,78,-4,,,,
3,-3,78,-4,,,,
3,-3,78,-4,,,,
3,-3,78,-3.888889,,,,
3,-3,78,-3.888889,,,,
3,-3,78,-3.888889,,,,
3,-3,78,-3.888889,,,,
3,-3,78,-3.878873,,,,
3,-3,77,-3.833334,,,,
3,-3,77,-3.833334,,,,
3,-3,77,-3.833334,,,,
3,-3,77,-3.833334,,,,
3,-3,77,-3.727358,,,,
3,-3,77,-3.722223,,,,
3,-3,77,-3.722223,,,,
3,-3,77,-3.722223,,,,
3,-3,77,-3.722223,,,,
3,-3,77,-3.722223,,,,
3,-3,77,-3.666667,,,,
3,-3,77,-3.666667,,,,
3,-3,77,-3.666667,,,,
3,-3,77,-3.666667,,,,
3,-3,77,-3.666667,,,,
3,-3,77,-3.666667,,,,
3,-3,77,-3.575843,,,,
3,-3,77,-3.555556,,,,
3,-3,77,-3.555556,,,,
3,-3,77,-3.555556,,,,
3,-3,77,-3.555556,,,,
3,-3,76.90909091,-3.555556,,,,
3,-3,76,-3.555556,,,,
3,-3,76,-3.555556,,,,
3,-3,76,-3.555556,,,,
3,-3,76,-3.555556,,,,
3,-3,76,-3.555556,,,,
3,-3,76,-3.555556,,,,
3,-3,76,-3.5,,,,
3,-3,76,-3.5,,,,
3,-3,76,-3.5,,,,
3,-3,76,-3.5,,,,
3,-3,76,-3.5,,,,
3,-3,76,-3.5,,,,
3,-3,76,-3.5,,,,
3,-3,76,-3.5,,,,
3,-3,76,-3.444445,,,,
3,-3,76,-3.444445,,,,
3,-3,76,-3.444445,,,,
3,-3,75,-3.444445,,,,
3,-3,75,-3.444445,,,,
3,-3,75,-3.444445,,,,
3,-3,75,-3.444445,,,,
3,-3,75,-3.444445,,,,
3,-3,75,-3.444445,,,,
3,-3,75,-3.444445,,,,
3,-3,75,-3.424328,,,,
3,-3,75,-3.333334,,,,
3,-3,75,-3.333334,,,,
3,-3,74,-3.333334,,,,
3,-3,74,-3.333334,,,,
3,-3,74,-3.333334,,,,
3,-3,74,-3.333334,,,,
3,-3,74,-3.333334,,,,
3,-3,74,-3.333334,,,,
3,-3,74,-3.333334,,,,
3,-3,74,-3.333334,,,,
3,-3,74,-3.333334,,,,
3,-3,74,-3.333334,,,,
3,-3,74,-3.333334,,,,
3,-3,74,-3.333334,,,,
3,-3,74,-3.333334,,,,
3,-3,74,-3.277778,,,,
3,-3,74,-3.277778,,,,
3,-3,74,-3.277778,,,,
3,-3,74,-3.277778,,,,
3,-3,74,-3.277778,,,,
3,-3,74,-3.277778,,,,
3,-3,74,-3.277778,,,,
3,-3,74,-3.277778,,,,
3,-3,74,-3.277778,,,,
3,-3,73.63636364,-3.277778,,,,
3,-3,73,-3.277778,,,,
3,-3,73,-3.277778,,,,
3,-3,73,-3.277778,,,,
3,-3,73,-3.277778,,,,
3,-3,73,-3.277778,,,,
3,-3,73,-3.272813,,,,
3,-3,73,-3.166667,,,,
3,-3,73,-3.166667,,,,
3,-3,73,-3.166667,,,,
3,-3,73,-3.166667,,,,
3,-3,73,-3.166667,,,,
3,-3,73,-3.166667,,,,
3,-3,73,-3.166667,,,,
3,-3,73,-3.166667,,,,
3,-3,73,-3.166667,,,,
3,-3,73,-3.121298,,,,
3,-3,73,-3.111111,,,,
3,-3,73,-3.111111,,,,
3,-3,73,-3.111111,,,,
3,-3,73,-3.111111,,,,
3,-3,73,-3.111111,,,,
3,-3,73,-3.111111,,,,
3,-3,73,-3.111111,,,,
3,-3,73,-3.111111,,,,
3,-3,73,-3.111111,,,,
3,-3,73,-3.111111,,,,
3,-3,73,-3.111111,,,,
3,-3,73,-3.111111,,,,
3,-3,72,-3.111111,,,,
3,-3,72,-3.111111,,,,
3,-3,72,-3.111111,,,,
3,-3,72,-3.111111,,,,
3,-3,72,-3.111111,,,,
3,-3,72,-3.111111,,,,
3,-3,72,-3.111111,,,,
3,-3,72,-3.111111,,,,
3,-3,72,-3.111111,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-3,,,,
3,-3,72,-2.969782,,,,
3,-3,71,-2.944445,,,,
3,-3,71,-2.944445,,,,
3,-3,71,-2.944445,,,,
3,-3,71,-2.944445,,,,
3,-3,71,-2.944445,,,,
3,-3,71,-2.944445,,,,
3,-3,71,-2.944445,,,,
3,-3,71,-2.944445,,,,
3,-3,71,-2.944445,,,,
3,-3,71,-2.944445,,,,
3,-3,71,-2.833334,,,,
3,-3,71,-2.833334,,,,
3,-3,71,-2.833334,,,,
3,-3,71,-2.833334,,,,
3,-3,71,-2.833334,,,,
3,-3,71,-2.833334,,,,
3,-3,71,-2.833334,,,,
3,-3,71,-2.833334,,,,
3,-3,70.36363636,-2.833334,,,,
3,-3,70,-2.833334,,,,
3,-3,70,-2.833334,,,,
3,-3,70,-2.833334,,,,
3,-3,70,-2.833334,,,,
3,-3,70,-2.833334,,,,
3,-3,70,-2.818267,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.777778,,,,
3,-3,70,-2.666667,,,,
3,-3,70,-2.666667,,,,
3,-3,70,-2.666667,,,,
3,-3,70,-2.666667,,,,
3,-3,70,-2.666667,,,,
3,-3,70,-2.666667,,,,
3,-3,70,-2.666667,,,,
3,-3,70,-2.666667,,,,
3,-3,70,-2.666667,,,,
3,-3,70,-2.666667,,,,
3,-3,70,-2.666667,,,,
3,-3,70,-2.666667,,,,
3,-3,69.5,-2.666667,,,,
3,-3,69,-2.666667,,,,
3,-3,69,-2.666667,,,,
3,-3,69,-2.611111,,,,
3,-3,69,-2.611111,,,,
3,-3,69,-2.611111,,,,
3,-3,69,-2.611111,,,,
3,-3,69,-2.611111,,,,
3,-3,69,-2.611111,,,,
3,-3,69,-2.611111,,,,
